Date,open,high,low,close,volume
2024-06-27,311.7300109863281,316.7900085449219,310.7200012207031,313.69000244140625,2082200
2024-06-28,313.70001220703125,316.67999267578125,310.5899963378906,312.45001220703125,3518100
2024-07-01,313.3399963378906,319.0,310.2300109863281,311.010009765625,1769400
2024-07-02,310.25,312.42999267578125,307.6400146484375,310.7699890136719,1542700
2024-07-03,311.489990234375,312.5400085449219,306.1099853515625,309.3800048828125,1000700
2024-07-05,311.0299987792969,313.4100036621094,308.57000732421875,310.8800048828125,1274400
2024-07-08,311.3599853515625,315.4800109863281,310.6099853515625,311.4599914550781,1167200
2024-07-09,311.6199951171875,316.0799865722656,307.6300048828125,315.9100036621094,1852500
2024-07-10,317.05999755859375,322.8800048828125,314.6400146484375,321.6700134277344,2192100
2024-07-11,322.0,327.989990234375,320.17999267578125,325.0899963378906,2254000
2024-07-12,327.82000732421875,333.8500061035156,326.010009765625,330.8299865722656,2191300
2024-07-15,331.8800048828125,332.80999755859375,327.8699951171875,330.1499938964844,1688800
2024-07-16,330.4599914550781,335.9100036621094,328.0,333.1400146484375,1879400
2024-07-17,330.0,336.6099853515625,328.6000061035156,335.6700134277344,1933200
2024-07-18,334.20001220703125,338.9800109863281,330.6700134277344,330.9700012207031,2228400
2024-07-19,333.6499938964844,333.9800109863281,328.42999267578125,331.2900085449219,1848700
2024-07-22,333.2300109863281,337.0899963378906,332.4700012207031,335.9700012207031,1733700
2024-07-23,334.3599853515625,337.0400085449219,331.30999755859375,333.239990234375,1458200
2024-07-24,333.25,337.17999267578125,330.3399963378906,335.6099853515625,2459300
2024-07-25,335.989990234375,346.8500061035156,333.0199890136719,334.29998779296875,2435700
2024-07-26,334.55999755859375,338.94000244140625,333.2799987792969,334.8500061035156,1515500
2024-07-29,334.0799865722656,334.8399963378906,331.29998779296875,332.510009765625,1611200
2024-07-30,333.0,338.57000732421875,331.6700134277344,333.2799987792969,1584000
2024-07-31,331.54998779296875,336.4100036621094,330.57000732421875,332.4700012207031,2120500
2024-08-01,336.0899963378906,340.8900146484375,333.4599914550781,335.5299987792969,2387700
2024-08-02,337.4200134277344,338.3500061035156,325.7300109863281,333.989990234375,2106200
2024-08-05,332.7200012207031,333.3399963378906,321.4100036621094,325.2200012207031,2974900
2024-08-06,325.2300109863281,332.9800109863281,323.5199890136719,328.95001220703125,2436500
2024-08-07,320.989990234375,323.0,306.5899963378906,312.5,4618400
2024-08-08,314.0,325.1199951171875,312.7900085449219,324.69000244140625,2746700
2024-08-09,323.75,325.0400085449219,319.3299865722656,322.489990234375,1786400
2024-08-12,323.8999938964844,323.8999938964844,317.92999267578125,320.0,1828700
2024-08-13,321.7799987792969,324.0,319.1700134277344,323.45001220703125,1632800
2024-08-14,320.42999267578125,324.3599853515625,319.55999755859375,322.7300109863281,1656100
2024-08-15,323.8800048828125,327.1600036621094,321.94000244140625,325.3900146484375,1886800
2024-08-16,323.6499938964844,324.82000732421875,320.5,321.44000244140625,1442500
2024-08-19,321.4599914550781,328.17999267578125,321.4100036621094,327.9700012207031,1214200
2024-08-20,328.1199951171875,330.5,326.6199951171875,328.54998779296875,1352600
2024-08-21,329.54998779296875,330.989990234375,327.9100036621094,329.1499938964844,1138200
2024-08-22,329.5,329.5,323.1199951171875,324.5299987792969,2172000
2024-08-23,326.2699890136719,331.2900085449219,325.3800048828125,328.79998779296875,1771100
2024-08-26,328.4100036621094,330.260009765625,325.5,326.7799987792969,1769900
2024-08-27,328.4200134277344,329.8299865722656,325.5799865722656,326.92999267578125,1444300
2024-08-28,325.94000244140625,330.510009765625,325.3900146484375,329.489990234375,1444200
2024-08-29,331.6700134277344,334.2699890136719,329.25,331.010009765625,1294300
2024-08-30,331.95001220703125,335.6600036621094,330.30999755859375,333.8299865722656,2173400
2024-09-03,331.8900146484375,333.1400146484375,329.1000061035156,330.510009765625,2120500
2024-09-04,329.92999267578125,331.1000061035156,327.6000061035156,330.6400146484375,1622100
2024-09-05,330.8999938964844,331.8599853515625,321.9100036621094,324.3599853515625,1977400
2024-09-06,324.70001220703125,326.9700012207031,319.0,320.55999755859375,2242400
2024-09-09,322.5199890136719,327.80999755859375,320.1000061035156,325.9200134277344,1707800
2024-09-10,327.0,329.2300109863281,322.3900146484375,328.92999267578125,1408400
2024-09-11,327.80999755859375,330.6499938964844,320.29998779296875,329.9800109863281,1711000
2024-09-12,330.2200012207031,332.3800048828125,326.4100036621094,330.05999755859375,1590000
2024-09-13,327.9599914550781,334.45001220703125,327.1499938964844,332.45001220703125,1397000
2024-09-16,335.8399963378906,337.55999755859375,332.9200134277344,335.260009765625,2360600
2024-09-17,334.5799865722656,334.5799865722656,331.0799865722656,332.79998779296875,2014000
2024-09-18,333.92999267578125,339.0,331.0,332.9200134277344,1366600
2024-09-19,337.0299987792969,338.70001220703125,334.6099853515625,335.95001220703125,1626100
2024-09-20,335.1499938964844,338.9700012207031,334.2699890136719,337.3800048828125,4068200
2024-09-23,339.0,339.1700134277344,333.3599853515625,335.6099853515625,1677500
2024-09-24,333.1499938964844,335.4100036621094,330.5,330.9200134277344,2101000
2024-09-25,329.0,329.5,312.1600036621094,312.8599853515625,4249500
2024-09-26,313.67999267578125,319.7799987792969,313.3699951171875,319.1000061035156,2555700
2024-09-27,322.70001220703125,327.9800109863281,320.5199890136719,322.6700134277344,2432600
2024-09-30,321.32000732421875,323.2300109863281,318.7900085449219,322.2099914550781,1966900
2024-10-01,322.04998779296875,322.20001220703125,316.9200134277344,320.32000732421875,2097400
2024-10-02,317.6300048828125,320.6700134277344,316.17999267578125,319.7300109863281,2614400
2024-10-03,317.1099853515625,319.7300109863281,315.4599914550781,317.4800109863281,1525300
2024-10-04,318.7200012207031,320.739990234375,316.42999267578125,319.6600036621094,1467800
2024-10-07,320.0799865722656,320.2099914550781,315.9200134277344,317.45001220703125,1262300
2024-10-08,319.1700134277344,319.95001220703125,316.4800109863281,317.67999267578125,1453300
2024-10-09,316.6600036621094,322.989990234375,314.70001220703125,322.4100036621094,1379400
2024-10-10,320.95001220703125,322.57000732421875,318.75,321.010009765625,1254600
2024-10-11,322.20001220703125,329.1700134277344,320.1000061035156,328.3500061035156,1567200
2024-10-14,325.5899963378906,326.95001220703125,322.5899963378906,324.6199951171875,1613300
2024-10-15,326.0299987792969,327.3299865722656,324.0299987792969,325.0899963378906,1956200
2024-10-16,326.20001220703125,326.7300109863281,321.32000732421875,321.6300048828125,1776700
2024-10-17,325.9200134277344,325.9200134277344,320.5,321.3299865722656,1635600
2024-10-18,320.6099853515625,322.55999755859375,319.17999267578125,321.6600036621094,1552100
2024-10-21,320.1600036621094,321.79998779296875,315.8699951171875,316.739990234375,1533200
2024-10-22,315.239990234375,321.0799865722656,313.9800109863281,319.6600036621094,2106500
2024-10-23,316.010009765625,318.54998779296875,313.70001220703125,314.8999938964844,1526300
2024-10-24,314.42999267578125,317.239990234375,313.6300048828125,315.69000244140625,1326600
2024-10-25,318.489990234375,319.20001220703125,314.8800048828125,316.9800109863281,1604400
2024-10-28,318.05999755859375,320.1400146484375,315.8999938964844,317.1700134277344,1816000
2024-10-29,317.010009765625,319.2099914550781,314.82000732421875,316.0,1466500
2024-10-30,311.95001220703125,317.8999938964844,310.6300048828125,315.5400085449219,2223600
2024-10-31,317.69000244140625,323.3999938964844,315.6499938964844,320.1600036621094,2713500
2024-11-01,318.69000244140625,321.70001220703125,316.9100036621094,319.2200012207031,1826700
2024-11-04,320.5799865722656,320.5799865722656,314.6099853515625,316.9100036621094,2090100
2024-11-05,316.1600036621094,319.5199890136719,313.0199890136719,319.2900085449219,1472300
2024-11-06,325.0,325.3900146484375,318.1700134277344,321.7900085449219,2208600
2024-11-07,322.0,322.9700012207031,318.5400085449219,321.9100036621094,2654700
2024-11-08,322.4800109863281,328.25,321.2799987792969,325.2799987792969,1978100
2024-11-11,325.9100036621094,327.5799865722656,321.6099853515625,321.80999755859375,2457000
2024-11-12,319.5899963378906,321.2200012207031,293.79998779296875,298.8399963378906,6680300
2024-11-13,306.0,307.42999267578125,298.9100036621094,301.44000244140625,3725600
2024-11-14,297.9100036621094,298.4800109863281,292.3299865722656,295.92999267578125,3515600
2024-11-15,291.5,291.5,279.6199951171875,283.6099853515625,5324700
2024-11-18,279.3800048828125,281.3599853515625,276.55999755859375,278.760009765625,3174600
2024-11-19,277.6700134277344,281.6000061035156,275.55999755859375,279.95001220703125,3210300
2024-11-20,281.1000061035156,288.4800109863281,278.55999755859375,287.8699951171875,4759200
2024-11-21,288.17999267578125,291.1099853515625,284.1400146484375,289.8999938964844,3553200
2024-11-22,290.8399963378906,295.4800109863281,288.7799987792969,294.5299987792969,3053200
2024-11-25,293.54998779296875,297.32000732421875,293.5,294.0,4695700
2024-11-26,264.2200012207031,280.3399963378906,257.79998779296875,280.010009765625,17010300
2024-11-27,279.0,282.69000244140625,278.0,280.07000732421875,6622800
2024-11-29,279.4599914550781,283.6400146484375,277.6400146484375,282.8699951171875,2232800
2024-12-02,282.0799865722656,282.3900146484375,276.8900146484375,278.1000061035156,4677800
2024-12-03,277.0,281.3800048828125,276.5,278.32000732421875,5468800
2024-12-04,275.80999755859375,279.4100036621094,273.8599853515625,278.260009765625,4173900
2024-12-05,277.0,279.0400085449219,273.1499938964844,274.3299865722656,3187000
2024-12-06,275.010009765625,275.3599853515625,271.4800109863281,272.5799865722656,3970200
2024-12-09,273.1600036621094,280.0,272.2799987792969,277.6300048828125,3222100
2024-12-10,277.8599853515625,277.8999938964844,272.3599853515625,275.75,2791400
2024-12-11,276.0,276.2799987792969,270.5799865722656,273.4100036621094,4493500
2024-12-12,273.80999755859375,275.8800048828125,272.1499938964844,274.05999755859375,3749200
2024-12-13,272.9599914550781,274.07000732421875,270.0199890136719,270.6199951171875,2906300
2024-12-16,270.6199951171875,272.69000244140625,266.2200012207031,266.5,3711100
