Date,open,high,low,close,volume
2024-07-02,462.0,462.79998779296875,433.79998779296875,433.79998779296875,1645270
2024-07-03,431.79998779296875,438.79998779296875,406.3999938964844,412.79998779296875,1436415
2024-07-05,404.6000061035156,418.79998779296875,401.3999938964844,410.79998779296875,1564590
2024-07-08,402.3999938964844,402.79998779296875,387.20001220703125,388.0,1994430
2024-07-09,383.79998779296875,399.79998779296875,377.3999938964844,388.6000061035156,1927750
2024-07-10,378.6000061035156,384.3999938964844,360.0,361.20001220703125,2516760
2024-07-11,355.20001220703125,401.3999938964844,354.6000061035156,397.79998779296875,3664010
2024-07-12,391.6000061035156,399.6000061035156,363.0,382.79998779296875,3223875
2024-07-15,378.79998779296875,390.0,367.6000061035156,383.20001220703125,2454740
2024-07-16,377.3999938964844,394.79998779296875,374.3999938964844,375.79998779296875,2302275
2024-07-17,415.20001220703125,457.79998779296875,411.3999938964844,455.0,4359140
2024-07-18,431.0,476.6000061035156,431.0,452.3999938964844,4656935
2024-07-19,454.3999938964844,497.0,450.20001220703125,494.0,2919170
2024-07-22,462.6000061035156,475.79998779296875,432.0,432.0,2906205
2024-07-23,453.0,456.79998779296875,439.3999938964844,452.20001220703125,1753535
2024-07-24,471.6000061035156,527.2000122070312,468.20001220703125,523.7999877929688,3055270
2024-07-25,539.7999877929688,587.5999755859375,509.0,559.2000122070312,4579275
2024-07-26,523.7999877929688,544.5999755859375,512.0,525.5999755859375,2631570
2024-07-29,510.20001220703125,535.5999755859375,488.3999938964844,529.4000244140625,2292805
2024-07-30,521.5999755859375,592.7999877929688,517.5999755859375,586.7999877929688,3129210
2024-07-31,506.79998779296875,520.4000244140625,467.6000061035156,468.20001220703125,3209600
2024-08-01,498.3999938964844,588.4000244140625,482.20001220703125,569.2000122070312,3885625
2024-08-02,644.7999877929688,684.0,626.5999755859375,664.7999877929688,5345915
2024-08-05,800.0,800.0,645.4000244140625,695.7999877929688,4718155
2024-08-06,677.0,714.5999755859375,623.7999877929688,678.5999755859375,2944130
2024-08-07,615.0,741.7999877929688,600.0,737.5999755859375,3110480
2024-08-08,669.5999755859375,716.5999755859375,582.5999755859375,585.0,3682790
2024-08-09,600.5999755859375,621.5999755859375,580.5999755859375,595.2000122070312,2812860
2024-08-12,593.7999877929688,609.4000244140625,564.5999755859375,585.2000122070312,2135920
2024-08-13,564.7999877929688,572.7999877929688,512.2000122070312,514.5999755859375,2398280
2024-08-14,503.0,544.4000244140625,495.3999938964844,519.4000244140625,2634890
2024-08-15,484.3999938964844,491.3999938964844,438.3999938964844,443.79998779296875,3220730
2024-08-16,458.3999938964844,466.20001220703125,442.3999938964844,448.20001220703125,2559785
2024-08-19,453.3999938964844,469.20001220703125,425.3999938964844,425.6000061035156,2422765
2024-08-20,433.79998779296875,452.3999938964844,423.6000061035156,442.20001220703125,3068350
2024-08-21,434.79998779296875,439.3999938964844,417.20001220703125,424.0,2940570
2024-08-22,416.3999938964844,471.20001220703125,412.6000061035156,466.6000061035156,3944420
2024-08-23,446.6000061035156,453.3999938964844,420.79998779296875,430.3999938964844,4091180
2024-08-26,437.79998779296875,468.0,431.79998779296875,463.0,3122660
2024-08-27,474.0,486.3999938964844,443.3999938964844,447.79998779296875,2719980
2024-08-28,453.0,486.6000061035156,444.6000061035156,472.0,3555305
2024-08-29,465.0,483.79998779296875,441.0,476.6000061035156,3633700
2024-08-30,444.20001220703125,465.20001220703125,437.0,441.3999938964844,3070255
2024-09-03,465.0,549.0,464.79998779296875,541.4000244140625,4836555
2024-09-04,558.0,564.5999755859375,511.3999938964844,536.2000122070312,3486740
2024-09-05,559.0,562.2000122070312,520.4000244140625,545.7999877929688,3261615
2024-09-06,557.0,625.2000122070312,557.0,616.5999755859375,4165450
2024-09-09,587.4000244140625,611.2000122070312,573.7999877929688,579.4000244140625,2761685
2024-09-10,578.5999755859375,606.0,560.4000244140625,561.4000244140625,2495905
2024-09-11,550.5999755859375,586.5999755859375,480.6000061035156,483.20001220703125,4051090
2024-09-12,491.79998779296875,512.4000244140625,477.20001220703125,490.79998779296875,2897160
2024-09-13,480.0,482.3999938964844,461.3999938964844,465.79998779296875,2716955
2024-09-16,485.3999938964844,502.0,477.0,483.3999938964844,2505805
2024-09-17,466.6000061035156,495.3999938964844,462.6000061035156,483.0,2708765
2024-09-18,478.0,500.20001220703125,456.0,498.3999938964844,3718040
2024-09-19,443.0,454.79998779296875,414.20001220703125,434.79998779296875,4625850
2024-09-20,448.6000061035156,473.6000061035156,444.0,454.0,3143885
2024-09-23,448.6000061035156,459.79998779296875,443.6000061035156,450.0,1707595
2024-09-24,432.79998779296875,449.0,420.79998779296875,429.0,2724920
2024-09-25,435.0,435.0,412.20001220703125,420.6000061035156,2666430
2024-09-26,369.0,409.6000061035156,365.0,376.0,5038620
2024-09-27,372.3999938964844,399.6000061035156,372.0,394.0,3350085
2024-09-30,409.0,421.79998779296875,397.0,405.0,3523725
2024-10-01,406.20001220703125,448.6000061035156,401.3999938964844,439.20001220703125,5404295
2024-10-02,435.6000061035156,444.79998779296875,406.6000061035156,420.20001220703125,3788930
2024-10-03,432.20001220703125,432.79998779296875,401.3999938964844,417.3999938964844,3110240
2024-10-04,392.0,415.6000061035156,390.6000061035156,400.3999938964844,3280645
2024-10-07,409.0,413.0,394.79998779296875,404.6000061035156,2713210
2024-10-08,404.3999938964844,412.0,388.0,391.79998779296875,2410715
2024-10-09,393.6000061035156,401.79998779296875,378.6000061035156,379.6000061035156,2631200
2024-10-10,395.0,402.3999938964844,382.20001220703125,388.0,3071620
2024-10-11,397.3999938964844,398.0,375.3999938964844,379.20001220703125,2395090
2024-10-14,372.20001220703125,372.79998779296875,356.0,358.3999938964844,2752405
2024-10-15,361.0,421.6000061035156,355.3999938964844,414.0,4744025
2024-10-16,398.79998779296875,420.0,398.6000061035156,414.0,2092170
2024-10-17,381.6000061035156,404.79998779296875,379.20001220703125,404.20001220703125,2696135
2024-10-18,393.6000061035156,409.3999938964844,393.20001220703125,404.3999938964844,1822850
2024-10-21,410.0,422.6000061035156,403.3999938964844,406.6000061035156,2071300
2024-10-22,413.79998779296875,421.6000061035156,407.6000061035156,411.20001220703125,2260775
2024-10-23,415.0,440.20001220703125,409.6000061035156,422.0,3239685
2024-10-24,410.79998779296875,425.6000061035156,410.0,415.6000061035156,2163045
2024-10-25,404.79998779296875,405.3999938964844,385.0,403.6000061035156,3273375
2024-10-28,404.3999938964844,410.6000061035156,395.20001220703125,403.0,1738350
2024-10-29,402.3999938964844,408.20001220703125,368.3999938964844,374.0,2839680
2024-10-30,402.79998779296875,414.0,396.20001220703125,413.6000061035156,3018385
