Date,open,high,low,close,volume
2024-10-25,178.0,178.75,172.25,177.75,9008968
2024-10-28,174.5,178.0,174.25,177.75,5482468
2024-10-29,177.5,179.5,171.25,173.0,6662068
2024-10-30,173.5,177.25,172.5,176.5,6501968
2024-10-31,181.25,190.25,181.0,190.0,8501396
2024-11-01,188.5,189.0,182.25,186.0,8646200
2024-11-04,187.0,190.0,184.0,188.0,6692164
2024-11-05,186.25,186.25,180.0,180.75,6430704
2024-11-06,171.75,173.0,165.25,166.25,8845932
2024-11-07,163.4499969482422,163.5,157.60000610351562,158.4499969482422,8425860
2024-11-08,159.1999969482422,159.75,157.4499969482422,158.14999389648438,7559100
2024-11-11,157.0500030517578,161.14999389648438,156.85000610351562,158.4499969482422,8666060
2024-11-12,158.60000610351562,162.25,157.75,159.3000030517578,7396920
2024-11-13,159.89999389648438,162.1999969482422,157.5,160.0500030517578,9273940
2024-11-14,160.5,164.35000610351562,159.60000610351562,163.39999389648438,8360580
2024-11-15,169.10000610351562,177.39999389648438,168.89999389648438,175.4499969482422,10371340
2024-11-18,173.8000030517578,175.3000030517578,169.5500030517578,171.8000030517578,6648440
2024-11-19,174.60000610351562,174.9499969482422,167.8000030517578,168.4499969482422,8651960
2024-11-20,168.75,175.35000610351562,168.4499969482422,168.60000610351562,10737820
2024-11-21,165.6999969482422,174.4499969482422,165.0,166.9499969482422,12374960
2024-11-22,167.75,169.39999389648438,165.6999969482422,166.39999389648438,6527800
2024-11-25,162.35000610351562,168.0,160.85000610351562,165.75,6506840
2024-11-26,164.3000030517578,165.14999389648438,162.3000030517578,163.10000610351562,4983380
2024-11-27,164.3000030517578,170.35000610351562,164.3000030517578,167.0500030517578,5682100
2024-11-29,166.6999969482422,167.35000610351562,162.3000030517578,162.89999389648438,3421780
2024-12-02,161.8000030517578,162.14999389648438,156.75,157.64999389648438,6202120
2024-12-03,158.9499969482422,159.5,156.0500030517578,156.25,4946540
2024-12-04,153.25,153.89999389648438,150.39999389648438,150.5500030517578,7749340
2024-12-05,150.60000610351562,152.1999969482422,149.9499969482422,151.89999389648438,6549420
