Datetime,open,high,low,close,volume
2023-07-31 09:30:00,388.5199890136719,389.4100036621094,385.95001220703125,386.5050048828125,323116
2023-07-31 11:30:00,386.6300048828125,390.0,386.2099914550781,389.739990234375,269655
2023-07-31 13:30:00,389.9100036621094,390.1000061035156,388.9800109863281,389.94500732421875,163756
2023-07-31 15:30:00,390.0400085449219,390.9700012207031,389.9100036621094,390.95001220703125,211331
2023-08-01 09:30:00,389.8399963378906,393.6650085449219,388.8900146484375,392.260009765625,328475
2023-08-01 11:30:00,392.1600036621094,392.20001220703125,388.9700012207031,389.7200012207031,183581
2023-08-01 13:30:00,389.6000061035156,391.2900085449219,388.989990234375,390.19500732421875,169986
2023-08-01 15:30:00,390.2049865722656,390.6300048828125,388.510009765625,388.7099914550781,302166
2023-08-02 09:30:00,385.6199951171875,387.125,383.3550109863281,384.54998779296875,333656
2023-08-02 11:30:00,384.55999755859375,386.42999267578125,384.49749755859375,386.0849914550781,166179
2023-08-02 13:30:00,386.0899963378906,386.7049865722656,384.1650085449219,384.32000732421875,163911
2023-08-02 15:30:00,384.3949890136719,385.17999267578125,383.7099914550781,383.7799987792969,221904
2023-08-03 09:30:00,381.9100036621094,384.5299987792969,379.1099853515625,383.135009765625,398900
2023-08-03 11:30:00,383.1400146484375,383.55999755859375,382.04998779296875,382.1199951171875,218505
2023-08-03 13:30:00,382.1600036621094,382.92999267578125,380.8599853515625,381.17498779296875,382719
2023-08-03 15:30:00,381.260009765625,381.8900146484375,380.30999755859375,380.6300048828125,270515
2023-08-04 09:30:00,384.0,384.3949890136719,380.54791259765625,382.57000732421875,331755
2023-08-04 11:30:00,382.70001220703125,383.5899963378906,381.7300109863281,381.9100036621094,240733
2023-08-04 13:30:00,381.75,382.55999755859375,379.0400085449219,379.5,265947
2023-08-04 15:30:00,379.45001220703125,379.8900146484375,377.5299987792969,377.9599914550781,365096
2023-08-07 09:30:00,381.0,384.6300048828125,380.6549987792969,384.29998779296875,218239
2023-08-07 11:30:00,384.29998779296875,385.2724914550781,383.92999267578125,385.0150146484375,126002
2023-08-07 13:30:00,385.0150146484375,385.96990966796875,384.54998779296875,385.4800109863281,179070
2023-08-07 15:30:00,385.4750061035156,385.69000244140625,384.8599853515625,385.010009765625,213113
2023-08-08 09:30:00,382.75,383.04998779296875,378.92999267578125,380.1600036621094,294693
2023-08-08 11:30:00,380.19500732421875,380.9800109863281,379.75,380.55999755859375,153938
2023-08-08 13:30:00,380.6700134277344,382.25,380.6499938964844,382.1099853515625,155117
2023-08-08 15:30:00,382.1099853515625,382.3550109863281,381.20001220703125,381.739990234375,152471
2023-08-09 09:30:00,383.2099914550781,383.8699951171875,381.0,382.7900085449219,160600
2023-08-09 11:30:00,382.760009765625,382.8799133300781,380.3399963378906,380.989990234375,154840
2023-08-09 13:30:00,381.0299987792969,382.5299987792969,380.7900085449219,380.7900085449219,124855
2023-08-09 15:30:00,380.7799987792969,381.04998779296875,379.2900085449219,379.55999755859375,166695
2023-08-10 09:30:00,381.29998779296875,386.57989501953125,380.739990234375,384.7300109863281,253665
2023-08-10 11:30:00,384.8299865722656,385.70001220703125,383.1300048828125,383.5400085449219,154983
2023-08-10 13:30:00,383.5,384.260009765625,382.5899963378906,383.6199951171875,113024
2023-08-10 15:30:00,383.41119384765625,383.6300048828125,382.25,382.32000732421875,97662
2023-08-11 09:30:00,382.3299865722656,383.25,380.5400085449219,382.3999938964844,173381
2023-08-11 11:30:00,382.4599914550781,383.239990234375,381.17999267578125,381.6600036621094,119439
2023-08-11 13:30:00,381.6600036621094,382.44000244140625,380.6199951171875,381.92498779296875,125998
2023-08-11 15:30:00,381.82000732421875,382.05999755859375,380.93499755859375,381.8399963378906,103444
2023-08-14 09:30:00,381.1099853515625,381.8699951171875,379.0199890136719,381.6099853515625,196780
2023-08-14 11:30:00,381.6600036621094,383.3399963378906,381.5199890136719,381.9801025390625,93505
2023-08-14 13:30:00,382.29998779296875,382.7550048828125,381.3900146484375,381.4100036621094,99241
2023-08-14 15:30:00,381.4949951171875,382.2799987792969,380.7900085449219,382.2300109863281,148672
2023-08-15 09:30:00,379.0,380.760009765625,377.8550109863281,379.6099853515625,190948
2023-08-15 11:30:00,379.69281005859375,379.94940185546875,377.739990234375,378.510009765625,72148
2023-08-15 13:30:00,378.3500061035156,379.8190002441406,378.17999267578125,378.57000732421875,110232
2023-08-15 15:30:00,378.2900085449219,379.489990234375,378.0799865722656,379.4100036621094,130797
2023-08-16 09:30:00,378.760009765625,381.4847106933594,378.3999938964844,381.3399963378906,204345
2023-08-16 11:30:00,381.3699951171875,381.5849914550781,378.3900146484375,378.9200134277344,417655
2023-08-16 13:30:00,378.7799987792969,380.3800048828125,377.3699951171875,377.5199890136719,234351
2023-08-16 15:30:00,377.5299987792969,378.4800109863281,377.4100036621094,377.80999755859375,128722
2023-08-17 09:30:00,379.44000244140625,381.20001220703125,378.3900146484375,379.5400085449219,291440
2023-08-17 11:30:00,379.6000061035156,379.8299865722656,377.9150085449219,378.0299987792969,122655
2023-08-17 13:30:00,377.94000244140625,378.5,375.3900146484375,376.3800048828125,199673
2023-08-17 15:30:00,376.45001220703125,376.6400146484375,375.4599914550781,376.30999755859375,219048
2023-08-18 09:30:00,374.55999755859375,377.8699951171875,373.79998779296875,376.9200134277344,311139
2023-08-18 11:30:00,376.760009765625,377.1600036621094,375.8999938964844,376.510009765625,139567
2023-08-18 13:30:00,376.5899963378906,376.6499938964844,375.17999267578125,375.9700012207031,221005
2023-08-18 15:30:00,375.94000244140625,376.6549987792969,374.489990234375,375.32000732421875,234800
2023-08-21 09:30:00,376.2200012207031,376.9800109863281,373.8699951171875,374.6700134277344,213004
2023-08-21 11:30:00,374.95001220703125,375.7200012207031,373.4700012207031,375.489990234375,103961
2023-08-21 13:30:00,375.510009765625,378.19500732421875,375.510009765625,377.9599914550781,189177
2023-08-21 15:30:00,378.0299987792969,378.5199890136719,377.04998779296875,377.6300048828125,176025
2023-08-22 09:30:00,378.6000061035156,380.3699951171875,377.44000244140625,379.1600036621094,304332
2023-08-22 11:30:00,379.05499267578125,379.67999267578125,377.36700439453125,377.8500061035156,165522
2023-08-22 13:30:00,377.9100036621094,378.9800109863281,377.5350036621094,378.4549865722656,148275
2023-08-22 15:30:00,378.3999938964844,378.3999938964844,377.4599914550781,377.6099853515625,125371
2023-08-23 09:30:00,377.5899963378906,377.7699890136719,375.7250061035156,377.6499938964844,223460
2023-08-23 11:30:00,377.7200012207031,379.67999267578125,377.3299865722656,379.2300109863281,135328
2023-08-23 13:30:00,379.2799987792969,379.7300109863281,377.9649963378906,378.7049865722656,129845
2023-08-23 15:30:00,378.68499755859375,378.9100036621094,377.135009765625,378.4100036621094,163316
2023-08-24 09:30:00,377.3999938964844,380.75,377.114990234375,379.0299987792969,200579
2023-08-24 11:30:00,378.739990234375,380.42999267578125,378.44000244140625,379.05499267578125,130457
2023-08-24 13:30:00,378.9599914550781,379.6300048828125,378.0799865722656,379.010009765625,162503
2023-08-24 15:30:00,379.0849914550781,379.1700134277344,377.75,377.760009765625,150318
2023-08-25 09:30:00,379.4200134277344,382.239990234375,378.0,379.5574951171875,250354
2023-08-25 11:30:00,379.6099853515625,381.7799987792969,379.53790283203125,380.79998779296875,105768
2023-08-25 13:30:00,380.7200012207031,383.2699890136719,380.2650146484375,383.0150146484375,114889
2023-08-25 15:30:00,383.04998779296875,383.2300109863281,381.4200134277344,381.739990234375,143116
2023-08-28 09:30:00,382.3999938964844,383.9599914550781,381.8699951171875,381.989990234375,150845
2023-08-28 11:30:00,381.989990234375,382.6700134277344,381.1650085449219,381.95001220703125,95134
2023-08-28 13:30:00,381.95001220703125,382.07000732421875,380.739990234375,381.55499267578125,124445
2023-08-28 15:30:00,381.5150146484375,382.6700134277344,381.42999267578125,382.0799865722656,96121
2023-08-29 09:30:00,381.07000732421875,382.9599914550781,379.3500061035156,382.5,223230
2023-08-29 11:30:00,382.6199951171875,385.70001220703125,382.1000061035156,385.5400085449219,129887
2023-08-29 13:30:00,385.44000244140625,386.0899963378906,385.0101013183594,385.94000244140625,128732
2023-08-29 15:30:00,385.94000244140625,386.989990234375,385.82000732421875,386.8500061035156,141967
2023-08-30 09:30:00,386.8999938964844,388.20001220703125,385.29998779296875,385.92059326171875,176184
2023-08-30 11:30:00,385.6200866699219,387.25,385.6200866699219,386.5950012207031,88019
2023-08-30 13:30:00,386.6000061035156,387.29998779296875,385.80999755859375,386.5299987792969,91740
2023-08-30 15:30:00,386.4200134277344,387.19000244140625,386.3550109863281,387.1600036621094,167330
2023-08-31 09:30:00,387.6600036621094,389.1650085449219,386.42999267578125,387.0849914550781,236726
2023-08-31 11:30:00,387.1099853515625,387.3500061035156,386.0,387.20001220703125,112034
2023-08-31 13:30:00,387.29998779296875,387.8999938964844,386.3999938964844,386.92999267578125,133599
2023-08-31 15:30:00,386.8384094238281,387.57000732421875,386.44000244140625,386.8699951171875,173939
2023-09-01 09:30:00,389.1499938964844,391.0050048828125,387.5799865722656,388.5299987792969,312817
